77;"Provincia";"Cuneo";"Saluzzo";"Via DELLA CHIESA";"13";"PROCN6SALU";"R0042030013";"0042030013";"1 - prima del 1800";;0,00
78;"Provincia";"Cuneo";"Saluzzo";"VIA SAN GIOVANNI";"1";"PROCN1ASAL";"R0042030011";"0042030011";"1 - prima del 1800";;0,00
79;"Provincia";"Cuneo";"Savigliano";"PIAZZA MISERICORDIA";"1";"PROCN2ASAV";"R0042150012";"0042150012";"1 - prima del 1800";;0,00
80;"Provincia";"Cuneo";"Savigliano";"PIAZZETTA BARALIS GIOVANNI";"4";"PROCN3ASAV";"R0042150013";"0042150013";"1 - prima del 1800";;0,00
81;"Provincia";"Novara";"Borgomanero";"VIALE DON MINZONI GIOVANNI";"5";"003024NO33";"R0030240002";"0030240002";"1 - prima del 1800";;0,00
82;"Provincia";"Novara";"Novara";"Via Collegio Gallarini";"s.n.c.";"003106NO22";"R0031060057";"0031060057";"1 - prima del 1800";;0,00
83;"Provincia";"Novara";"Novara";"Via Greppi";"18";"003106NO23";"R0031060056";"0031060056";"1 - prima del 1800";;0,00
84;"Provincia";"Torino";"Carmagnola";"PIAZZA SANT'AGOSTINO";"24";"PROVTO-77";"R0010590018";"0010590018";"1 - prima del 1800";;0,00
85;"Provincia";"Torino";"Ivrea";"Via Siccardi";"4";"PROVTO-88";"R0011250021";"0011250021";"1 - prima del 1800";"1600";1600,00
86;"Comune";"Verbano";"Belgirate";"Via CONELLI";"30";"1";"R1030100001";"1030100001";"1 - prima del 1800";"1693";1693,00
87;"Comune";"Cuneo";"Savigliano";"PIAZZA MOLINERI";"9";"8";"R0042150008";"0042150008";"1 - prima del 1800";"1717";1717,00
88;"Comune";"Cuneo";"Savigliano";"Via Ferreri";"9";"5";"R0042150018";"0042150018";"1 - prima del 1800";"1770";1770,00
89;"Comune";"Torino";"Torino";"Via Bligny";"1 bis";"01/006";"R0012720287";"0012720287";"1 - prima del 1800";"1783";1783,00
90;"Comune";"Alessandria";"Acqui Terme";"Corso Roma";"4";"PROV_AL_11";"R0060010012";"0060010012";"2 - tra il 1800 ed il 1900";;0,00
91;"Comune";"Alessandria";"Alessandria";"Piazza ADOLFO BALONCIERI";"13";"027";"R0060030026";"0060030026";"2 - tra il 1800 ed il 1900";;0,00
92;"Comune";"Alessandria";"Alessandria";"piazza dossena";"11";"025";"R0060030024";"0060030024";"2 - tra il 1800 ed il 1900";;0,00
93;"Comune";"Alessandria";"Alessandria";"Piazza Maino";"6 e 8";"029";"R0060030041";"0060030041";"2 - tra il 1800 ed il 1900";;0,00
94;"Comune";"Alessandria";"Alessandria";"via comunale";"31";"023";"R0060030023";"0060030023";"2 - tra il 1800 ed il 1900";;0,00
95;"Comune";"Alessandria";"Alluvioni Cambio'";"Via Bellingeri";"44-46";"2";"R0060060003";"0060060003";"2 - tra il 1800 ed il 1900";;0,00
96;"Comune";"Alessandria";"Alluvioni Cambio'";"VIA GARIBALDI GIUSEPPE";"18-20";"1";"R0060060001";"0060060001";"2 - tra il 1800 ed il 1900";;0,00
97;"Comune";"Alessandria";"Bassignana";"VIA CAVOUR";"10";"01 EE";"R0060130002";"0060130002";"2 - tra il 1800 ed il 1900";;0,00
98;"Comune";"Alessandria";"Capriata D'Orba";"Via San Rocco";"1";"2";"R0060290002";"0060290002";"2 - tra il 1800 ed il 1900";;0,00
99;"Comune";"Alessandria";"Carpeneto";"Via Giacomo Gualco";"19";"1";"R0060330001";"0060330001";"2 - tra il 1800 ed il 1900";;0,00
100;"Comune";"Alessandria";"Casale Monferrato";"Via FACINO CANE";"27";"21";"R0060390029";"0060390029";"2 - tra il 1800 ed il 1900";;0,00
101;"Comune";"Alessandria";"Casale Monferrato";"via Trevigi";"16";"20";"R0060390009";"0060390009";"2 - tra il 1800 ed il 1900";;0,00
102;"Comune";"Alessandria";"Castellazzo Bormida";"Via E.BOIDI";"149";"2";"R0060470002";"0060470002";"2 - tra il 1800 ed il 1900";;0,00
103;"Comune";"Alessandria";"Felizzano";"PIAZZA ERCOLE PAOLO";"10";"3";"R0060680001";"0060680001";"2 - tra il 1800 ed il 1900";;0,00
104;"Comune";"Alessandria";"Frassineto Po";"Via Roma";"6";"1";"R0060730001";"0060730001";"2 - tra il 1800 ed il 1900";;0,00
105;"Comune";"Alessandria";"Gavi";"Piazza Dante Alighieri";"1";"1";"R0060810002";"0060810002";"2 - tra il 1800 ed il 1900";;0,00
106;"Comune";"Alessandria";"Novi Ligure";"Viale SAFFI";"44";"GARIBALDI";"R0061140007";"0061140007";"2 - tra il 1800 ed il 1900";;0,00
107;"Comune";"Alessandria";"Novi Ligure";"Via ONETO";"54";"ONETO";"R0061140010";"0061140010";"2 - tra il 1800 ed il 1900";;0,00
108;"Comune";"Alessandria";"Ottiglio";"Via Asilo";"5";"001";"R0061200001";"0061200001";"2 - tra il 1800 ed il 1900";;0,00
109;"Comune";"Alessandria";"Predosa";"Via Gramsci";"23";"4";"R0061400004";"0061400004";"2 - tra il 1800 ed il 1900";;0,00
110;"Comune";"Alessandria";"Quargnento";"Piazza I MAGGIO";"17";"1";"R0061410001";"0061410001";"2 - tra il 1800 ed il 1900";;0,00
111;"Comune";"Alessandria";"Rocca Grimalda";"Via Parasio";"27";"1";"R0061470001";"0061470001";"2 - tra il 1800 ed il 1900";;0,00
112;"Comune";"Alessandria";"Solero";"Piazza Regina Elena";"1";"SOLERO_1";"R0061630002";"0061630002";"2 - tra il 1800 ed il 1900";;0,00
113;"Comune";"Alessandria";"Strevi";"Piazza PIAZZA MATTEOTTI";"8";"2";"R0061680001";"0061680001";"2 - tra il 1800 ed il 1900";;0,00
114;"Comune";"Alessandria";"Terruggia";"Via Marconi";"3-5";"1";"R0061710001";"0061710001";"2 - tra il 1800 ed il 1900";;0,00
115;"Comune";"Alessandria";"Vignale Monferrato";"VIA BERGAMASCHINO ALDO";"13";"02";"R0061790002";"0061790002";"2 - tra il 1800 ed il 1900";;0,00
116;"Comune";"Alessandria";"Vignale Monferrato";"VIA MANZONI ALESSANDRO";"38/3";"01";"R0061790001";"0061790001";"2 - tra il 1800 ed il 1900";;0,00
117;"Comune";"Alessandria";"Villalvernia";"PIAZZA UMBERTO I";"12";"1";"R0061830001";"0061830001";"2 - tra il 1800 ed il 1900";;0,00
118;"Comune";"Alessandria";"Visone";"Via PITTAVINO";"20";"02";"R0061870002";"0061870002";"2 - tra il 1800 ed il 1900";;0,00
119;"Comune";"Alessandria";"Voltaggio";"Via SAN GIOVANNI DE ROSSI";"2";"01";"R0061900001";"0061900001";"2 - tra il 1800 ed il 1900";;0,00
120;"Comune";"Asti";"Asti";"VIA GOLTIERI LUIGI CAMILLO";"9";"33";"R0050050034";"0050050034";"2 - tra il 1800 ed il 1900";;0,00
121;"Comune";"Asti";"Baldichieri D'Asti";"Via DON BORGNINO";"1";"005007003";"R0050070003";"0050070003";"2 - tra il 1800 ed il 1900";;0,00
122;"Comune";"Asti";"Buttigliera D'Asti";"via riva ";"8";"1";"R0050120003";"0050120003";"2 - tra il 1800 ed il 1900";;0,00
123;"Comune";"Asti";"Buttigliera D'Asti";"Via XXIV Maggio";"20";"2B";"R0050120005";"0050120005";"2 - tra il 1800 ed il 1900";;0,00
124;"Comune";"Asti";"Castagnole delle Lanze";"Via VALLE";"2";"MATERNA";"R0050220003";"0050220003";"2 - tra il 1800 ed il 1900";;0,00
125;"Comune";"Asti";"Cisterna D'Asti";"Via GIOVANNI XXIII";"1";"2";"R0050400002";"0050400002";"2 - tra il 1800 ed il 1900";;0,00
126;"Comune";"Asti";"Cocconato";"via Garibaldi";"11";"2";"R0050420002";"0050420002";"2 - tra il 1800 ed il 1900";;0,00
127;"Comune";"Asti";"Cortiglione";"Piazza VITTORIO  EMANUELE";"7";"01";"R0050480001";"0050480001";"2 - tra il 1800 ed il 1900";;0,00
128;"Comune";"Asti";"Frinco";"Regione San Firmino";"1";"001";"R0050550001";"0050550001";"2 - tra il 1800 ed il 1900";;0,00
129;"Comune";"Asti";"Montiglio Monferrato";"Via VIRGINIO COCCONITO";"40";"0050780002";"R0051210002";"0051210002";"2 - tra il 1800 ed il 1900";;0,00
130;"Comune";"Asti";"Piova' Massaia";"VIA IPPOLITA POLLEDRO ";"40";"1";"R0050860001";"0050860001";"2 - tra il 1800 ed il 1900";;0,00
